id;name;type;description;active
1;Virtual;POLYCLINIC;3rd generation engage Louisiana;false
2;groupware;POLYCLINIC;Electronics Tasty Configuration;false
3;Hat;POLYCLINIC;France parsing instruction set;true
4;maximize;SERVICE;Sleek Soft Ball;false
5;channels bypassing Investment Account;SERVICE;Toys Home distributed;true
6;Principal;SERVICE;bypassing infrastructures;true
7;virtual Computer;SERVICE;1080p Cross-platform;false
8;Intelligent Investor;SERVICE;mint green back-end;false
9;Orchestrator;POLYCLINIC;Armenian Dram;true
10;USB Trafficway Frozen;SERVICE;program asymmetric Money Market Account;true
